id,platform,topic,post_text,ground_truth_sentiment,sentiment_score,reference_translation
60,Facebook,TDP,"అమరావతి పనులు మళ్లీ మొదలయ్యాయి. ఇది ఎన్నోవ సారి అని లెక్క పెట్టడం మానేశాను. 😂",Negative,-0.84,"Amaravati works have started again. I have stopped counting how many times this is. 😂"
61,X,YCP,"కొత్త బస్ టెర్మినల్ ప్రాజెక్ట్ చాలా బాగా నడుస్తోంది. రెండేళ్లుగా నిలిచి ఉంది కదా!",Negative,-0.86,"The new bus terminal project is going very well. It has been standing still for two years after all!"
62,Instagram,TDP,"ఉపాధి అవకాశాలు పెరిగాయి. ఇంట్లో కూర్చుని వెయిట్ చేస్తే చాలు. గొప్ప విజన్!",Negative,-0.83,"Employment opportunities have increased. Just sitting at home and waiting is enough. Great vision!"
63,X,YCP,"Fee reimbursement process is so transparent that students get it after the semester ends. Perfect system! 🙏",Negative,-0.85,"Fee reimbursement process is so transparent that students get it after the semester ends. Perfect system! 🙏"
64,Facebook,TDP,"Housing list released with zero complaints. Because no one got a house. Flawless execution!",Negative,-0.9,"Housing list released with zero complaints. Because no one got a house. Flawless execution!"
65,X,JSP,"Rally was a huge success. Crowd came for free food, stayed for free food. Democracy at work. 😂",Negative,-0.78,"Rally was a huge success. Crowd came for free food, stayed for free food. Democracy at work. 😂"
66,Instagram,YCP,"Corruption free administration is the goal. And we are very close — only a few thousand crores left!",Negative,-0.92,"Corruption free administration is the goal. And we are very close — only a few thousand crores left!"
67,Facebook,TDP,"Youth unemployment is our top priority. That is why we keep talking about it every election. Consistency!",Negative,-0.87,"Youth unemployment is our top priority. That is why we keep talking about it every election. Consistency!"
68,X,YCP,"School condition has improved tremendously. Now the roof leaks only during heavy rain. Quality upgrade!",Negative,-0.81,"School condition has improved tremendously. Now the roof leaks only during heavy rain. Quality upgrade!"
69,Facebook,BJP,"नई योजनाओं की घोषणा रोज हो रही है। अमल की जरूरत ही नहीं पड़ती। शानदार व्यवस्था!",Negative,-0.86,"New schemes are being announced every day. There is no need for implementation at all. Brilliant system!"
70,X,INC,"जनता की समस्याएं सुन ली गईं। अब बस हल करने की जरूरत नहीं। सुनना ही काफी है। वाह!",Negative,-0.84,"The public's problems have been heard. Now there is no need to solve them. Listening is enough. Wow!"
71,Instagram,YCP,"పబ్లిక్ మీటింగ్ చాలా సక్సెస్. ప్రశ్నలు అడిగే వాళ్లు లేకపోవడం గొప్ప విషయం. 👏",Negative,-0.82,"Public meeting was a big success. The absence of people asking questions is a great thing. 👏"
72,Facebook,TDP,"గ్రామాల్లో తాగునీరు సమస్య పూర్తిగా పరిష్కారం. ఇప్పుడు కేవలం వేసవిలోనే కష్టం. సూపర్!",Negative,-0.85,"Drinking water problem in villages is completely solved. Now difficulty only in summer. Super!"
73,X,YCP,"Manifesto lo old promises recycle chesaru. Environment friendly approach. Green politics! 😂",Negative,-0.8,"They recycled old promises in the manifesto. Environment friendly approach. Green politics! 😂"
74,Facebook,TDP,"Customer care response is lightning fast. They reply after three months without fail. Reliable service!",Negative,-0.88,"Customer care response is lightning fast. They reply after three months without fail. Reliable service!"
75,X,YCP,"వోలంటీర్లు ఫ్లడ్ రిలీఫ్ లో చాలా బాగా పని చేశారు. ప్రభుత్వం మాత్రం హామీలు ఇచ్చింది. బ్యాలెన్స్!",Negative,-0.79,"Volunteers did a great job in flood relief. The government only gave promises. Balance!"
76,Instagram,TDP,"Fuel prices controlled perfectly. Increased only twice this month. Common man is thrilled. 🙄",Negative,-0.87,"Fuel prices controlled perfectly. Increased only twice this month. Common man is thrilled. 🙄"
